3338,18290,9200000,2457433
3338,1360,60240000,2457433
3338,82270,68848000,2457433
3338,118000,26250000,2457433
3338,18290,9450000,2457434
3338,1360,62000000,2457434
3338,82270,68200000,2457434
3338,118000,26750000,2457434
3338,18290,9300000,2457435
3338,1360,57630000,2457435
3338,82270,71600000,2457435
3338,118000,26750000,2457435
3338,18290,9180000,2457436
3338,1360,56525000,2457436
3338,82270,68600000,2457436
3338,118000,26050000,2457436
3583,100090,1752600,2457433
3583,100090,1794510,2457434
3583,100090,1882140,2457435
3583,100090,1908810,2457436
3163,900180,1049420,2457433
3163,43200,7621320,2457433
3163,66700,7893400,2457433
3163,52670,4072100,2457433
3163,900180,1104220,2457434
3163,43200,7872410,2457434
3163,66700,8022800,2457434
3163,52670,4158100,2457434
3163,900180,1150800,2457435
3163,43200,8167810,2457435
3163,66700,8152200,2457435
3163,52670,4244100,2457435
3163,900180,1159020,2457436
3163,43200,8714300,2457436
3163,66700,8061620,2457436
3163,52670,4893400,2457436
3637,6050,115150000,2457433
3637,6050,122150000,2457434
3637,6050,122850000,2457435
3637,6050,126700000,2457436
3351,30520,9984900,2457433
3351,30520,10084500,2457434
3351,30520,10283700,2457435
3351,30520,10358400,2457436
2223,13570,40670000,2457433
2223,22100,72335000,2457433
2223,206640,34247850,2457433
2223,900050,27249200,2457433
2223,13570,40670000,2457434
2223,22100,74205000,2457434
2223,206640,33952100,2457434
2223,900050,28556000,2457434
2223,13570,40250000,2457435
2223,22100,75310000,2457435
2223,206640,37856000,2457435
2223,900050,29282000,2457435
2223,13570,40530000,2457436
2223,22100,75480000,2457436
2223,206640,36140650,2457436
2223,900050,28749600,2457436
1169,68270,303900000,2457433
1169,39790,10371600,2457433
1169,68760,14400,2457433
1169,68270,305723400,2457434
1169,39790,10578000,2457434
1169,68760,14650,2457434
1169,68270,314536500,2457435
1169,39790,10552200,2457435
1169,68760,15500,2457435
1169,68270,300253200,2457436
1169,39790,10139400,2457436
1169,68760,15000,2457436
1199,153490,15179220,2457433
1199,900050,8647680,2457433
1199,153490,16263450,2457434
1199,900050,9062400,2457434
1199,153490,17037900,2457435
1199,900050,9292800,2457435
1199,153490,13940100,2457436
1199,900050,9123840,2457436
5170,95300,6506250,2457433
5170,95300,7110030,2457434
5170,95300,7182900,2457435
5170,95300,8119080,2457436
5818,8900,582400,2457435
5818,91700,1202250,2457435
5818,270,425250,2457435
5818,8900,569600,2457436
5818,91700,1202250,2457436
5818,270,430650,2457436
5186,35420,556000,2457433
5186,5930,3390000,2457433
5186,105560,1249600,2457433
5186,5380,137000,2457433
5186,20560,4320,2457433
5186,64520,4780,2457433
5186,67080,434500,2457433
5186,35420,556000,2457434
5186,5930,3462000,2457434
5186,105560,1304600,2457434
5186,5380,139500,2457434
5186,20560,4500,2457434
5186,64520,5940,2457434
5186,67080,414150,2457434
5186,35420,575000,2457435
5186,5930,3504000,2457435
5186,105560,1298000,2457435
5186,5380,141000,2457435
5186,20560,4490,2457435
5186,64520,5540,2457435
5186,67080,419650,2457435
5186,35420,575000,2457436
5186,5930,3555000,2457436
5186,105560,1377200,2457436
5186,5380,147000,2457436
5186,20560,4455,2457436
5186,64520,5960,2457436
5186,67080,413600,2457436
3172,68270,63200000,2457433
3172,41920,17611350,2457433
3172,130680,102000,2457433
3172,78140,110037600,2457433
3172,400,87640540,2457433
3172,68270,63579200,2457434
3172,41920,18854000,2457434
3172,130680,104550,2457434
3172,78140,109194400,2457434
3172,400,89769460,2457434
3172,68270,65412000,2457435
3172,41920,21896350,2457435
3172,130680,107400,2457435
3172,78140,109616000,2457435
3172,400,90833920,2457435
3172,68270,62441600,2457436
3172,41920,21296450,2457436
3172,130680,102600,2457436
3172,78140,98654400,2457436
3172,400,91011330,2457436
1902,122800,52790400,2457433
1902,122800,56659200,2457434
1902,122800,61401600,2457435
1902,122800,62774400,2457436
218,23800,22600000,2457433
218,141070,0,2457434
218,7110,1280,2457434
218,23800,24079330,2457434
218,35890,59943870,2457435
218,7110,1230,2457435
218,23800,26707730,2457435
218,35890,107038800,2457436
218,7110,0,2457436
218,23800,26892960,2457436
592,9420,727950,2457433
592,32850,201320,2457433
592,15260,827750,2457433
592,9420,772800,2457434
592,32850,205800,2457434
592,15260,842800,2457434
592,9420,783150,2457435
592,32850,207480,2457435
592,15260,899990,2457435
592,9420,738300,2457436
592,32850,203000,2457436
592,15260,881930,2457436
4275,130960,77100,2457433
4275,36630,48825,2457433
4275,11070,80700,2457433
4275,660,40505350,2457433
4275,127120,10900,2457433
4275,130960,76200,2457434
4275,36630,55350,2457434
4275,11070,82100,2457434
4275,660,41023700,2457434
4275,127120,10900,2457434
4275,130960,77100,2457435
4275,36630,52425,2457435
4275,11070,85200,2457435
4275,660,42800900,2457435
4275,127120,11350,2457435
4275,130960,72200,2457436
4275,36630,50175,2457436
4275,11070,83900,2457436
4275,660,44504050,2457436
4275,127120,10800,2457436
5574,5940,110040000,2457434
5574,23410,126225000,2457434
5574,13580,273340000,2457434
5574,6800,251460000,2457434
5574,131100,22165000,2457434
5574,1230,15093000,2457434
5574,1230,38571000,2457434
5574,103590,13725000,2457434
5574,103590,96829875,2457434
5574,117930,41745160,2457434
5574,117930,15054840,2457434
5574,6360,25100000,2457434
5574,14790,269720500,2457434
5574,5940,111480000,2457435
5574,23410,127050000,2457435
5574,13580,277448000,2457435
5574,6800,254100000,2457435
5574,131100,23100000,2457435
5574,1230,15012000,2457435
5574,1230,38364000,2457435
5574,103590,13950000,2457435
5574,103590,98417250,2457435
5574,117930,42259625,2457435
5574,117930,15240375,2457435
5574,6360,24950000,2457435
5574,14790,270074000,2457435
5574,5940,110040000,2457436
5574,23410,129360000,2457436
5574,13580,278712000,2457436
5574,6800,252780000,2457436
5574,131100,23100000,2457436
5574,1230,14823000,2457436
5574,1230,37881000,2457436
5574,103590,13890000,2457436
5574,103590,97993950,2457436
5574,117930,41598170,2457436
5574,117930,15001830,2457436
5574,6360,25150000,2457436
5574,14790,269013500,2457436
264,1360,3300000,2457433
264,82270,26562750,2457433
264,34230,12908200,2457433
264,41590,1530000,2457433
264,1360,3410000,2457434
